"entityID","entity","tier1and2entity","tier1and2entityID","mission","website","operational","decision","regulatory","research","level"
"n01","North Carolina","North Carolina",1,NA,"https://www.nc.gov/","Yes","Yes","Yes","Yes",1
"n02","Department of Environmental Quality","Department of Environmental Quality",2,"Providing science based environmental stewardship for the health and prosperity of ALL North Carolinians.","https://deq.nc.gov/","Yes","Yes","Yes","Yes",2
"n03","Water Infrastructure","Department of Environmental Quality",2,"Provide financial assistance for projects that improve water quality.","https://deq.nc.gov/about/divisions/water-infrastructure","No","Yes","Yes","No",3
"n04","Water Resources","Department of Environmental Quality",2,"Efficiently and effectively protect the states surface water and groundwater resources through quality monitoring programs, efficient permitting, responsible management, fair and effective enforcement and excellence in public service.","https://deq.nc.gov/about/divisions/water-resources","Yes","Yes","Yes","Yes",3
"n05","Water Resources Enforcement","Department of Environmental Quality",2,NA,"https://deq.nc.gov/about/divisions/water-resources/water-resources-enforcement","No","Yes","Yes","No",4
"n06","Public Water Supply","Department of Environmental Quality",2,"Regulate public water systems within the state under the statutory authority of G.S. 130A Article 10","https://deq.nc.gov/about/divisions/water-resources/drinking-water","Yes","Yes","Yes","No",4
"n07","Water Planning","Department of Environmental Quality",2,"Develop standards, rules and management strategies to protect water quality, carries out water supply planning, provides guidance to local water systems and monitors drought conditions.","https://deq.nc.gov/about/divisions/water-resources/planning","Yes","Yes","Yes","Yes",4
"n08","Basin Planning","Department of Environmental Quality",2,"Develop and maintain the most detailed and comprehensive, online, living statewide basin plan, practicable, for the State’s seventeen river basins.","https://deq.nc.gov/about/divisions/water-resources/planning/basin-planning","No","Yes","No","No",5
"n09","Classifications, Standards, and Rules Review","Department of Environmental Quality",2,"Responsible for developing and assisting with the interpretation and implementation of the state's surface water and groundwater quality standards and surface water body classifications such as Water Supply (WS), High Quality Waters (HQW), and others.","https://deq.nc.gov/about/divisions/water-resources/planning/classification-standards","No","Yes","Yes","No",5
"n10","Groundwater Management","Department of Environmental Quality",2,"Provides technical and management support for the development and use of ground water resources in the State of North Carolina.","https://deq.nc.gov/about/divisions/water-resources/water-planning/ground-water-management-branch","Yes","Yes","No","No",5
"n11","Modeling and Assessment","Department of Environmental Quality",2,"Uses computer models and data analyses to simulate and assess surface water resources. ","https://deq.nc.gov/about/divisions/water-resources/planning/modeling-assessment","Yes","No","No","Yes",5
"n12","Water Quality Regional Operations","Department of Environmental Quality",2,"Focuses on service to the regional surface water and groundwater concerns of citizens, local governments and business communities.","https://deq.nc.gov/about/divisions/water-resources/water-quality-regional-operations","Yes","Yes","Yes","No",4
"n13","Water Science","Department of Environmental Quality",2,"Provides the Division of Water Resources with scientific and technical support required to monitor, regulate, and manage water quality throughout North Carolina.","https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page","Yes","Yes","Yes","No",4
"n14","Aquatic Toxicology Branch","Department of Environmental Quality",2,"Serves the state of North Carolina through its support of the EPA mandated NPDES program as it pertains to the Clean Water Act (CWA) established in 1972.","https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/aquatic-toxicology-branch","No","Yes","Yes","No",5
"n15","Biological Assessment Branch","Department of Environmental Quality",2,"Evaluate the water quality of streams and rivers using the biological communities that live there.","https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/biological-assessment-branch","No","Yes","Yes","No",5
"n16","Ecosystems Branch","Department of Environmental Quality",2,NA,"https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/ecosystems-branch","No","Yes","No","No",5
