entityID,entity,tier1and2entity,tier1and2entityID,mission,website,operational,decision,regulatory,research,level
n01,Executive Branch,Executive Branch,1,Implement and enforce the laws written by Congress.,https://www.whitehouse.gov/about-the-white-house/the-executive-branch/,Yes,Yes,Yes,Yes,1
n02,Department of Agriculture,Department of Agriculture,2,"Provide leadership on food, agriculture, natural resources, rural development, nutrition, and related issues based on public policy, the best available science, and effective management.",https://www.usda.gov/,Yes,Yes,No,Yes,2
n03,Agricultural Research Service,Department of Agriculture,2,Conduct research to develop and transfer solutions to agricultural problems of high national priority.,https://www.ars.usda.gov/,No,Yes,No,Yes,3
n04,National Agricultural Statistics Service,Department of Agriculture,2,"Provide timely, accurate, and useful statistics in service to U.S. agriculture.",https://www.nass.usda.gov/,No,Yes,No,No,3
n05,Natural Resources Conservation Service,Department of Agriculture,2,Provide resources to farmers and landowners to aid them with conservation.,https://www.nrcs.usda.gov/,Yes,Yes,No,No,3
n06,Economic Research Service,Department of Agriculture,2,"Anticipate trends and emerging issues in agriculture, food, the environment, and rural America and to conduct high-quality, objective economic research to inform and enhance public and private decision making.",https://www.ers.usda.gov/,No,Yes,No,Yes,3
n07,Department of Commerce,Department of Commerce,3,"Promote job creation, economic growth, sustainable development, and improved living standards for all Americans by working in partnership with businesses, universities, communities, and workers.",https://www.commerce.gov/,Yes,Yes,No,Yes,2
n08,National Oceanic and Atmospheric Administration,Department of Commerce,3,"To understand and predict changes in climate, weather, oceans, and coasts, to share that knowledge and information with others, and to conserve and manage coastal and marine ecosystems and resources.",http://www.noaa.gov/,Yes,Yes,No,Yes,3
n09,National Weather Service,Department of Commerce,3,"Provide weather, water, and climate data, forecasts and warnings for the protection of life and property and enhancement of the national economy.",https://www.weather.gov/,Yes,Yes,No,Yes,4
n10,Department of Defense,Department of Defense,4,Provide the military forces needed to deter war and to protect the security of our country.,https://www.defense.gov/,Yes,Yes,Yes,No,2
n11,National Geospatial Intelligence Agency,Department of Defense,4,"Provide timely, relevant, and accurate geospatial intelligence in support of national security.",http://www.nga.mil/,Yes,Yes,No,No,3
n12,Army Corps of Engineers,Department of Defense,4,"Deliver vital public and military engineering services; partnering in peace and war to strengthen our Nations security, energize the economy and reduce risks from disasters",https://www.usace.army.mil/,Yes,Yes,Yes,No,3
n13,Department of Energy,Department of Energy,5,"Ensure Americas security and prosperity by addressing its energy, environmental and nuclear challenges through transformative science and technology solutions.",https://www.energy.gov/,No,Yes,No,Yes,2
n14,Office of Energy Efficiency and Renewable Energy,Department of Energy,5,Create and sustain American leadership in the transition to a global clean energy economy.,https://www.energy.gov/eere/water/,No,Yes,No,Yes,3
n15,Water Power Technologies Office,Department of Energy,5,NA,https://www.energy.gov/eere/water/,No,Yes,No,Yes,4
n16,Oak Ridge National Laboratory,Department of Energy,5,Deliver scientific discoveries and technical breakthroughs that will accelerate the development and deployment of solutions in clean energy and global security.,https://ornl.gov/,No,Yes,No,Yes,5
n17,Pacific Northwest National Laboratory,Department of Energy,5,Transform the world through courageous discovery and innovation.,https://www.pnnl.gov/,No,No,No,Yes,5
n18,Idaho National Laboratory,Department of Energy,5,"Discover, demonstrate, and secure innovative nuclear energy solutions, other clean energy options, and critical infrastructure.",https://www.inl.gov/,No,No,No,Yes,5
n19,Sandia National Laboratory,Department of Energy,5,Develop advanced technologies to ensure global peace.,https://www.sandia.gov/,No,No,No,Yes,5
n20,National Renewable Energy Laboratory,Department of Energy,5,"Advance the science and engineering of energy efficiency, sustainable transportation, and renewable power technologies and provide the knowledge to integrate and optimize energy systems.",https://www.nrel.gov/,No,Yes,No,Yes,5
n21,Argonne National Laboratory,Department of Energy,5,Serve America as a science and energy laboratory distinguished by the breadth of R&D capabilities in concert with a powerful suite of experimental and computational facilities.,http://www.anl.gov/,No,No,No,Yes,5
n22,Energy Information Administration,Department of Energy,5,"Collect, analyze, and disseminate independent and impartial energy information to promote sound policymaking, efficient markets, and public understanding of energy and its interaction with the economy and the environment.",https://www.eia.gov/,No,Yes,No,No,3
n23,Department of Homeland Security,Department of Homeland Security,6,"With honor and integrity, we will safeguard the American people, our homeland, and our values.",https://www.dhs.gov/,Yes,Yes,Yes,No,2
n24,Federal Emergency Management Agency,Department of Homeland Security,6,"Helping people before, during, and after disasters.",https://www.fema.gov/,Yes,Yes,Yes,No,3
n25,National Protection and Programs Directorate,Department of Homeland Security,6,Lead the national effort to protect and enhance the resilience of the nations physical and cyber infrastructure.,https://www.dhs.gov/national-protection-and-programs-directorate,No,Yes,No,No,3
n26,Office of Infrastructure Protection,Department of Homeland Security,6,Lead the national effort to secure critical infrastructure from all hazards by managing risk and enhancing resilience through collaboration with the critical infrastructure community.,https://www.dhs.gov/office-infrastructure-protection,No,Yes,No,No,4
n27,Department of Interior,Department of Interior,7,"Protects and manage the Nations natural resources and cultural heritage; provide scientific and other information about those resources; and honor its trust responsibilities or special commitments to American Indians, Alaska Natives, and affiliated island communities.",https://www.doi.gov/,Yes,Yes,Yes,Yes,2
n28,Bureau of Reclamation,Department of Interior,7,"Manage, develop, and protect water and related resources in an environmentally and economically sound manner in the interest of the American public.",https://www.usbr.gov/,Yes,Yes,Yes,Yes,3
n29,Fish and Wildlife Service,Department of Interior,7,"Working with others to conserve, protect, and enhance fish, wildlife, plants, and their habitats for the continuing benefit of the American people.",https://www.fws.gov/,Yes,Yes,Yes,Yes,3
n30,Geological Survey,Department of Interior,7,"To collect and disseminate reliable, impartial, and timely information that is needed to understand the Nations water resources.",https://www.usgs.gov/,No,Yes,No,Yes,3
n31,Water Resources,Department of Interior,7,"To collect and disseminate reliable, impartial, and timely information that is needed to understand the Nations water resources.",https://www.usgs.gov/science/mission-areas/,No,Yes,No,Yes,4
n32,Department of Housing and Urban Development,Department of Housing and Urban Development,8,"Create strong, sustainable, inclusive communities and quality affordable homes for all.",https://www.hud.gov/,No,Yes,No,No,2
n33,Department of Health and Human Services,Department of Health and Human Services,9,Enhance and protect the health and well-being of all Americans.,https://www.hhs.gov/,No,No,Yes,No,2
n34,Centers for Disease Control and Prevention,Department of Health and Human Services,9,"Works 24/7 to protect America from health, safety and security threats, both foreign and in the U.S.",https://www.cdc.gov/,No,No,Yes,No,3
n35,Independent Establishments and Government Corporations,Independent Establishments and Government Corporations,10,Address concerns that go beyond the scope of ordinary legislation.,https://www.usa.gov/independent-agencies,Yes,Yes,Yes,Yes,2
n36,Environmental Protection Agency,Independent Establishments and Government Corporations,10,Protect human health and the environment.,https://www.epa.gov/,Yes,Yes,Yes,Yes,3
n37,Federal Geospatial Data Committee,Independent Establishments and Government Corporations,10,"On going strategic planning to ensure continued investment of resources in high value programs, activities and technologies for the_advancement of the NSDI.",https://fgdc.gov/,No,Yes,No,No,3
n38,General Services Administration,Independent Establishments and Government Corporations,10,"Deliver value and savings in real estate, acquisition, technology, and other mission-support services across Government.",https://www.gsa.gov/,No,No,No,No,3
n39,National Aeronautics and Space Administration,Independent Establishments and Government Corporations,10,"Drive advances in science, technology, aeronautics, and space exploration to enhance knowledge, education, innovation, economic vitality and stewardship of Earth.",https://www.nasa.gov/,Yes,Yes,No,Yes,3
n40,Science Mission Directorate,Independent Establishments and Government Corporations,10,"Engages the Nations science community, sponsors scientific research, and develops and deploys satellites and probes in collaboration with NASAs partners around the world to answer fundamental questions requiring the view from and into space",https://science.nasa.gov/,Yes,Yes,No,Yes,4
n41,Earth Science Division,Independent Establishments and Government Corporations,10,"Develop a scientific understanding of Earths system and its response to natural or human-induced changes, and to improve prediction of climate, weather, and natural hazards.",https://science.nasa.gov/earth-science,No,Yes,No,Yes,5
n42,Tennessee Valley Authority,Independent Establishments and Government Corporations,10,Serve the people of the Tennessee Valley to help the region thrive and grow.,https://www.tva.gov/,Yes,Yes,No,No,3
